,Country,Bank,Date,Period,Deposits Market Share,Total Assets Market Share,Loans Market Share,NPLs / Gross Loan Portfolio (GLP),LLR/ NPLs,LLR/GLP,YoY Loan Growth,Regulatory CAR,CAR Headroom,Equity / Assets,OCER (NPLs - LLRs) / Equity,Internal Capital Generation,ROAA,ROAE,Operating Profits / Average Assets,(Savings + Current) / Total Liabilities,Market Funds / Total Liabilities,(Cash and Deposits + Securities) / Total Assets,GLP / Deposits
47,Ecuador,BP CITIBANK,6/30/19,2019-Q2,0.016063738,0.015620977,0.011259288,0.0,-inf,-0.07773417565133159,,,,0.16080807708206837,inf,0.17823961982419873,,,,0.8922219130533015,0.0026496492109978798,0.2816678360850278,0.6395006456976864
48,Ecuador,BANCOS PRIVADOS,3/31/22,2022-Q1,1.0,1.0,1.0,0.0,-inf,-0.06938273613873228,,,,0.12727785771858752,inf,0.08631660365258233,,,,0.5160751715426634,0.016564166026889527,0.15494473410539708,0.8372210737531748
49,Ecuador,BP COMERCIAL DE MANABI,6/30/19,2019-Q2,0.001175977,0.001242789,0.001035137,0.0,-inf,-0.07492790046418914,,,,0.2976307731564337,inf,0.004431853143133959,,,,0.7514360644856266,0.0,0.1242044782256624,0.8006754240501366
50,Ecuador,BP COOPNACIONAL,6/30/19,2019-Q2,0.004855166,0.004484735,0.003267014,0.0,-inf,-0.027950590132528645,,,,0.1871234145849924,inf,0.03506500525782716,,,,0.7230582645878691,0.0,0.24447495367796265,0.5824939851136469
51,Ecuador,BANCOS PRIVADOS,6/30/22,2022-Q2,1.0,1.0,1.0,0.0,-inf,-0.06976632448973437,,,,0.15642927175065663,inf,0.07338708575874094,,,,0.5086773876119637,0.016624817028988072,0.13887201576473093,0.8825158525785276
52,Ecuador,BP DELBANK,6/30/19,2019-Q2,0.000577336,0.000800156,0.00075898,0.0,-inf,-0.03513524529632039,,,,0.445112072101744,inf,0.0353890281633416,,,,0.43494481701312243,0.0,0.24565717383256028,1.1464849233143897
53,Ecuador,BP DINERS,6/30/19,2019-Q2,0.039085945,0.055211624,0.068914881,0.0,-inf,-0.09183512696955397,,,,0.26542519704462264,inf,0.09379107384239767,,,,0.004476631922547216,0.0,0.05740421095604946,1.6336555431386732
54,Ecuador,BANCOS PRIVADOS,9/30/22,2022-Q3,1.0,1.0,1.0,0.0,-inf,-0.06785957419968244,,,,0.1796814701782223,inf,0.0657224398997669,,,,0.48606174491982246,0.01631841901585921,0.13807770355378365,0.9001866093884677
55,Ecuador,BP D-MIRO S.A.,6/30/19,2019-Q2,0.000861882,0.002625606,0.003313892,0.0,-inf,-0.07933311561888702,,,,0.28973979434277025,inf,0.0858353595922045,,,,0.09972286477369872,0.007532598298054455,0.05528505561419797,3.5141543290526673
56,Ecuador,BP FINCA,6/30/19,2019-Q2,0.001612017,0.002105539,0.002510676,0.0,-inf,-0.0421580476268647,,,,0.26320055600384046,inf,0.044831109942354154,,,,0.10004743552311536,0.0,0.12538153754374307,1.3682325435859324
57,Ecuador,BANCOS PRIVADOS,12/31/22,2022-Q4,1.0,1.0,1.0,0.0,-inf,-0.06867307513820409,,,,0.2025710235608519,inf,0.05759706012992646,,,,0.481549724084504,0.01835744357206783,0.16731743365647492,0.8842051833579879
58,Ecuador,BP GENERAL RUMINAHUI,6/30/19,2019-Q2,0.021696745,0.021074785,0.020640903,0.0,-inf,-0.0689185422832955,,,,0.13604182728973152,inf,0.10884832545631132,,,,0.3703261810661896,0.0071572272534455,0.18970939061282702,0.859763905914268
59,Ecuador,BP GUAYAQUIL,6/30/19,2019-Q2,0.107487393,0.109562567,0.10479228,0.0,-inf,-0.03246487436138765,,,,0.1558592993831539,inf,0.10796911016771663,,,,0.5301566573338184,0.0016209331088617252,0.1936155657963162,0.8478866854138067
60,Ecuador,BP INTERNACIONAL,6/30/19,2019-Q2,0.087433348,0.082777926,0.085258564,0.0,-inf,-0.04059291773883123,,,,0.1394239679128852,inf,0.09754559924121431,,,,0.5416896130558435,0.0,0.13168503692499453,0.855245461431352
61,Ecuador,BP LITORAL,6/30/19,2019-Q2,0.000840061,0.000949037,0.001027595,0.0,-inf,-0.06189620374129849,,,,0.35907919995512766,inf,-0.02736843160945755,,,,0.2600130126152917,3.5603652818141574e-08,0.0772407952285192,1.0972181645649917
62,Ecuador,BP LOJA,6/30/19,2019-Q2,0.012612448,0.011454986,0.010936719,0.0,-inf,-0.08252480953493488,,,,0.16139060083606283,inf,0.09041700808450748,,,,0.5294364504018213,0.0,0.1992945418164914,0.7952911393116194
63,Ecuador,BP AMAZONAS,9/30/19,2019-Q3,0.005377916,0.004928157,0.004586941,0.0,-inf,-0.04588406385392709,,,,0.18876837401021226,inf,0.0027593475043413648,,,,0.2621107147275146,0.001996206086302045,0.09133775690784005,0.766230013500012
64,Ecuador,BP MACHALA,6/30/19,2019-Q2,0.021523603,0.018236894,0.018448493,0.0,-inf,-0.024893705094548555,,,,0.12159494038646278,inf,0.04115201476896227,,,,0.5214290503937145,0.0033014082083587023,0.12640885414328623,0.7396508701002736
65,Ecuador,BP PACIFICO,6/30/19,2019-Q2,0.131534666,0.138480488,0.145749346,0.0,-inf,-0.043705706737918126,,,,0.17595548811223571,inf,0.10117131420085418,,,,0.4665702883466575,0.0,0.10692126838656897,0.9750067490506169
66,Ecuador,BP AMAZONAS,12/31/19,2019-Q4,0.005315892,0.004858442,0.004352355,0.0,-inf,-0.030681604900282416,,,,0.22583835443577058,inf,0.009228142188229933,,,,0.236589285975869,0.0,0.1226783840816745,0.706722942210384
67,Ecuador,BP PICHINCHA,6/30/19,2019-Q2,0.27673706,0.259236284,0.251371128,0.0,-inf,-0.11211755346361561,,,,0.16589372340253808,inf,0.0693809894042025,,,,0.6350091341319256,0.027033431999311044,0.15022756947998522,0.8608458644621112
68,Ecuador,BP PROCREDIT,6/30/19,2019-Q2,0.00482298,0.008474438,0.010434964,0.0,-inf,-0.03152404813249043,,,,0.2135561130260024,inf,0.0017776224667016025,,,,0.3286551829275076,0.0,0.10549178098583684,1.8798339843025476
69,Ecuador,BP AMAZONAS,3/31/20,2020-Q1,0.005558101,0.004999392,0.004135086,0.0,-inf,-0.034311752520731126,-0.049942192,,,0.12854522914298638,inf,0.0023883689923321627,0.0003196762329339644,0.004776737984664325,-0.011732429235255902,0.24758240062581466,0.0,0.1493108308843942,0.6544175106429491
70,Ecuador,BP PRODUBANCO,6/30/19,2019-Q2,0.117534837,0.115466579,0.117072539,0.0,-inf,-0.035523850815178365,,,,0.13601919210015867,inf,0.09174764793900295,,,,0.5115392829674342,0.026051885961702943,0.15960715980085308,0.8690199245320067
71,Ecuador,BP SOLIDARIO,6/30/19,2019-Q2,0.013206552,0.018473771,0.021616651,0.0,-inf,-0.11046959229363265,,,,0.2733344187981243,inf,0.0772288483037085,,,,0.118453101333603,0.0,0.0872006549618579,1.5483565560331158
72,Ecuador,BP AMAZONAS,6/30/20,2020-Q2,0.005477506,0.005039851,0.004139111,0.0,-inf,-0.037437755765317916,-0.110366311,,,0.16604630391749514,inf,0.0028177428153238937,0.0004817207907716641,0.0056354856306477874,-0.009113091496298423,0.2608165878281903,0.0,0.14461285980322264,0.6278515926743296
73,Ecuador,BP VISIONFUND ECUADOR,6/30/19,2019-Q2,0.000274971,0.001841672,0.002558624,0.0,-inf,-0.03427742574021653,,,,0.3019847614495857,inf,0.10028801940473368,,,,0.05246036362854756,0.0,0.07072736670599716,8.107728793365627
74,Ecuador,BP AMAZONAS,9/30/20,2020-Q3,0.005635277,0.005108862,0.003880641,0.0,-inf,-0.03994007617278152,-0.183301119,,,0.1893308743561192,inf,0.0022790595687509005,0.00045265931614064736,0.004558119136463153,-0.0082319777926911,0.28188995821281004,0.0,0.18152443756725198,0.5494115914834173
75,Ecuador,BANCOS PRIVADOS,6/30/19,2019-Q2,1.0,1.0,1.0,0.0,-inf,-0.06599572487920119,,,,0.1655301224254266,inf,0.08568690034424163,,,,0.5096845150015001,0.010767800214884726,0.14983502313812075,0.9009152370789894
76,Ecuador,BP AMAZONAS,12/31/20,2020-Q4,0.005359958,0.004979929,0.003584708,0.0,-inf,-0.03212407630764022,-0.202689899,,,0.19920573642968334,inf,0.004256337808027928,0.0008936557985422837,0.008512675614285056,-0.006741217626867442,0.27379582240385497,0.0,0.2040185606795446,0.5022597735614938
77,Ecuador,BP AMAZONAS,3/31/21,2021-Q1,0.005258273,0.004881535,0.003762774,0.0,-inf,-0.033711042175533334,-0.103577421,,,0.12425017913200728,inf,0.00229709544051823,0.00029586968823046923,0.00459419087947491,-0.006704228288379669,0.28070428142127307,0.0,0.1169053746434515,0.5427249142291213
78,Ecuador,BP AUSTRO,9/30/19,2019-Q3,0.046548062,0.041363652,0.03586024,0.0,-inf,-0.06231729285980618,,,,0.18557665126487913,inf,0.037237406043462394,,,,0.469610150648387,0.0,0.15576970371325655,0.7042175879186396
